id,description,label
fa54c298-dbc2-41ce-aa34-0351bf5a71d0,Day 1 - SysClient0201 -> 142.20.56.204 (SMB),Lateral movement
de2f9804-acdc-48a7-b52a-bddb03c8f82f,Day 1 - SysClient0201 -> 142.20.56.204 (SMB),Lateral movement
ced61d66-e204-4107-9cb0-a9974cd376cf,Day 1 - SysClient0201 -> 142.20.56.204 (SMB),Lateral movement
f809631e-86d3-4dad-877a-e998c9d14a93,Day 1 - SysClient0201 -> 142.20.56.204 (SMB),Lateral movement
965a2d0f-3e57-481e-a856-4ed5171ba183,Day 1 - SysClient0201 -> 142.20.56.204 (SMB),Lateral movement
f41ee1ee-60a7-44c4-8fec-d98cf853b6cb,Day 1 - SysClient0201 -> 142.20.56.204 (SMB),Lateral movement
2e454806-cac2-40eb-899f-97a9ca5c6f7a,Day 1 - Ping sweep from SysClient0201,Other
16de7238-976a-4363-b0bb-0a8013ff67ee,Day 1 - Ping sweep from SysClient0201,Other
a0530d4e-cd48-4cd6-ab05-d2b7feebb062,Day 1 - Ping sweep from SysClient0201,Other
1a510b3d-a7c2-4485-8304-d35cc761c26e,Day 1 - Ping sweep from SysClient0201,Other
39f79f3c-0a89-4219-ba86-a9fd488dc44b,Day 1 - Ping sweep from SysClient0201,Other
7223d12e-3d88-4066-8da7-3dd55e305f66,Day 1 - Ping sweep from SysClient0201,Other
bfa6cbcf-b022-4969-ae4f-929720313523,Day 1 - Ping sweep from SysClient0201,Other
9cc2f89c-1b9a-4d98-a06c-672ead8390ca,Day 1 - Ping sweep from SysClient0201,Other
bbf0ff95-2ed7-43ea-91a0-5cbee77a270f,Day 1 - Ping sweep from SysClient0201,Other
cbbd21ce-d9f4-453a-9b6a-d08840527836,Day 1 - Ping sweep from SysClient0201,Other
db18e97e-27d8-4bb9-b2c9-67135554f2bc,Day 1 - Ping sweep from SysClient0201,Other
aff4f740-5f43-4085-a6b0-284b7747fc30,Day 1 - Ping sweep from SysClient0201,Other
684c7b47-3641-475e-b3f9-a0ccb3c869c3,Day 1 - Ping sweep from SysClient0201,Other
f0d396a6-c18e-4b99-b94c-ff51a63c37eb,Day 1 - Ping sweep from SysClient0201,Other
2cbc914f-2691-4a13-aa07-0c237bf701c6,Day 1 - Ping sweep from SysClient0201,Other
c1d9a490-812c-4845-b7e8-1b54257872cd,Day 1 - Ping sweep from SysClient0201,Other
72b22321-b94b-43ef-8f03-a308a1eb5b05,Day 1 - Ping sweep from SysClient0201,Other
3449f672-f598-4378-83dd-3d9a18b6cba1,Day 1 - Ping sweep from SysClient0201,Other
952d3ae1-1a77-4ccc-a76a-bdf182ed1466,Day 1 - Ping sweep from SysClient0201,Other
d1005734-450f-4cd4-9c36-1a5c3760802c,Day 1 - Ping sweep from SysClient0201,Other
0cf71a95-955b-481f-9da5-c19a526ad234,Day 1 - Ping sweep from SysClient0201,Other
9dcb3cf7-796c-4c9f-8cf6-613a1b888d5c,Day 1 - Ping sweep from SysClient0201,Other
1637aeca-4360-4395-b4e1-45078821219d,Day 1 - Ping sweep from SysClient0201,Other
df49ec72-4d06-4da3-898d-bcd96eb27823,Day 1 - Ping sweep from SysClient0201,Other
4b4b2369-d934-4455-a84d-3996bfd1194f,Day 1 - Ping sweep from SysClient0201,Other
892157a5-fc12-46f6-901f-f138076907b3,Day 1 - Ping sweep from SysClient0201,Other
5a1bf386-2a6c-47ad-b23d-4de2884b8dd1,Day 1 - Ping sweep from SysClient0201,Other
b46983e6-01c0-443e-8453-8e066f2947df,Day 1 - Ping sweep from SysClient0201,Other
0ebcbf7a-8e41-497a-8d7c-b287ce28f358,Day 1 - Ping sweep from SysClient0201,Other
c17d367c-d8f5-43de-bc13-7a14fb2e3750,Day 1 - Ping sweep from SysClient0201,Other
fff7ab10-a904-44d2-a598-179b35f45842,Day 1 - Ping sweep from SysClient0201,Other
9b52ee0d-8b03-4b6e-9c04-09276a36a1d5,Day 1 - Ping sweep from SysClient0201,Other
2001eab0-94a4-48e2-ab1d-0ecfe6b3cd7e,Day 1 - Ping sweep from SysClient0201,Other
724b50ac-15ae-49fc-bfeb-f001e3141b37,Day 1 - Ping sweep from SysClient0201,Other
bd9f88b9-ad0c-4475-8673-287fb07c5a10,Day 1 - Ping sweep from SysClient0201,Other
0bc73c84-4c24-4162-b864-8396483a4ed5,Day 1 - Ping sweep from SysClient0201,Other
399925bd-8236-433d-bc02-432f5cb70f60,Day 1 - Ping sweep from SysClient0201,Other
e42831bb-688c-4055-9938-34ebd0f448d7,Day 1 - Ping sweep from SysClient0201,Other
18aada57-c6ce-4aa6-a038-637e1a0c3b13,Day 1 - Ping sweep from SysClient0201,Other
88139544-f046-4e38-8ac5-8ac218146ba4,Day 1 - Ping sweep from SysClient0201,Other
e918b60f-abb9-44b0-9148-142247498d74,Day 1 - Ping sweep from SysClient0201,Other
d02f8634-4531-4bef-8b9a-ad72ac8182bd,Day 1 - Ping sweep from SysClient0201,Other
7abb7540-bb9b-4de0-a80f-9ea35041003b,Day 1 - Ping sweep from SysClient0201,Other
9dc5f9bb-2d23-43ab-a66c-4e3d46c5e39c,Day 1 - Ping sweep from SysClient0201,Other
87241354-19ff-45a7-9e5a-78dabb58c721,Day 1 - Ping sweep from SysClient0201,Other
acdeaa2f-7387-40f4-bfd1-81b9b8bdebdc,Day 1 - Ping sweep from SysClient0201,Other
9801cc12-f57a-48a6-9602-742fa031a055,Day 1 - Ping sweep from SysClient0201,Other
0badb4ac-3c16-4374-94f2-007cccccbf3b,Day 1 - Ping sweep from SysClient0201,Other
b3abcb4e-9290-4caa-80c0-cc4320c48e05,Day 1 - Ping sweep from SysClient0201,Other
deaea470-005c-4f71-9857-667cf0b4e1aa,Day 1 - Ping sweep from SysClient0201,Other
fa8fd0eb-3e4a-47b6-8dc0-7880a6611f55,Day 1 - Ping sweep from SysClient0201,Other
4e765a77-3ee7-4861-90bf-932eb4e7a122,Day 1 - Ping sweep from SysClient0201,Other
f1b41b47-e254-41aa-b3d6-2eca1ab6557f,Day 1 - Ping sweep from SysClient0201,Other
3c767652-9aec-46b5-8153-3a2a7da92df0,Day 1 - Ping sweep from SysClient0201,Other
da7e4a5b-aeb3-4af8-b321-2a31bd7f269a,Day 1 - Ping sweep from SysClient0201,Other
7955aa78-f725-470b-82cc-5ea7f8c9e10c,Day 1 - Ping sweep from SysClient0201,Other
659e8720-461f-4c09-95c1-a41d3ac8fa94,Day 1 - Ping sweep from SysClient0201,Other
3eab311b-76e7-4c62-bc87-51fcd1d423f3,Day 1 - Ping sweep from SysClient0201,Other
6ace6940-63aa-4bdf-9d22-df5ba084b7af,Day 1 - Ping sweep from SysClient0201,Other
51cc05dc-5b30-40cd-ba33-5fb4dbe3f8f6,Day 1 - Ping sweep from SysClient0201,Other
dcc04786-e03a-494b-874b-4cc5ddcc5d50,Day 1 - Ping sweep from SysClient0201,Other
c5d91cf7-326e-4b37-9734-985825ebbe58,Day 1 - Ping sweep from SysClient0201,Other
3df25bc6-99c6-4710-a84f-0387ce1ca5d6,Day 1 - Ping sweep from SysClient0201,Other
f69719f0-9c13-4ece-95de-115b1e8e9c7d,Day 1 - Ping sweep from SysClient0201,Other
